allotmentName,date,area
13 RANCH,2013-03-10,6
13 RANCH,2013-03-17,6
13 RANCH,2013-03-24,6
13 RANCH,2013-04-07,0
13 RANCH,2013-04-14,0
13 RANCH,2013-04-21,0
13 RANCH,2013-05-01,0
13 RANCH,2013-05-08,0
13 RANCH,2013-05-15,0
13 RANCH,2013-06-01,7
13 RANCH,2013-06-08,7
13 RANCH,2013-06-15,7
13 RANCH,2013-07-01,0
13 RANCH,2013-07-08,0
13 RANCH,2013-07-15,0
13 RANCH,2013-08-01,0
13 RANCH,2013-08-08,0
13 RANCH,2013-08-15,0
13 RANCH,2013-09-01,0
13 RANCH,2013-09-08,0
13 RANCH,2013-09-15,0
13 RANCH,2013-10-01,7
13 RANCH,2013-10-08,7
13 RANCH,2013-10-15,7
13 RANCH,2013-11-01,7
13 RANCH,2013-11-08,7
13 RANCH,2013-11-15,7
13 RANCH,2014-03-01,0
13 RANCH,2014-03-08,0
13 RANCH,2014-03-15,0
13 RANCH,2014-04-01,0
13 RANCH,2014-04-08,0
13 RANCH,2014-04-15,0
13 RANCH,2014-05-01,0
13 RANCH,2014-05-08,0
13 RANCH,2014-05-15,0
13 RANCH,2014-06-01,0
13 RANCH,2014-06-08,0
13 RANCH,2014-06-15,0
13 RANCH,2014-07-01,0
13 RANCH,2014-07-08,0
13 RANCH,2014-07-15,0
13 RANCH,2014-08-01,0
13 RANCH,2014-08-08,0
13 RANCH,2014-08-15,0
13 RANCH,2014-09-01,0
13 RANCH,2014-09-08,0
13 RANCH,2014-09-15,0
13 RANCH,2014-10-01,0
13 RANCH,2014-10-08,0
13 RANCH,2014-10-15,0
13 RANCH,2014-11-01,0
13 RANCH,2014-11-08,0
13 RANCH,2014-11-15,0
13 RANCH,2015-03-01,7
13 RANCH,2015-04-01,7
13 RANCH,2015-05-01,0
13 RANCH,2015-06-01,0
13 RANCH,2015-07-01,0
13 RANCH,2015-08-01,0
13 RANCH,2015-09-01,0
13 RANCH,2015-10-01,1
13 RANCH,2015-11-01,0
13 RANCH,2016-03-01,0
13 RANCH,2016-04-01,0
13 RANCH,2016-05-01,0
13 RANCH,2016-06-01,7
13 RANCH,2016-07-01,0
13 RANCH,2016-08-01,0
13 RANCH,2016-09-01,0
13 RANCH,2016-10-01,7
13 RANCH,2016-11-01,1
13 RANCH,2016-12-01,0
13 RANCH,2017-01-01,0
13 RANCH,2017-02-01,0
13 RANCH,2017-04-01,0
